Date,open,predicted_2023
2023-01-03 05:00:00,130.28,NA
2023-01-04 05:00:00,126.89,NA
2023-01-05 05:00:00,127.13,NA
2023-01-06 05:00:00,126.01,NA
2023-01-09 05:00:00,130.465,NA
2023-01-10 05:00:00,130.26,NA
2023-01-11 05:00:00,131.25,NA
2023-01-12 05:00:00,133.88,NA
2023-01-13 05:00:00,132.03,142.07
2023-01-17 05:00:00,134.83,142.63
2023-01-18 05:00:00,136.815,143.2
2023-01-19 05:00:00,134.08,143.76
2023-01-20 05:00:00,135.28,144.11
2023-01-23 05:00:00,138.12,144.52
2023-01-24 05:00:00,140.305,145.06
2023-01-25 05:00:00,140.89,145.64
2023-01-26 05:00:00,143.17,146.26
2023-01-27 05:00:00,143.155,146.9
2023-01-30 05:00:00,144.955,147.62
2023-01-31 05:00:00,142.7,148.25
2023-02-01 05:00:00,143.97,148.83
2023-02-02 05:00:00,148.9,149.28
2023-02-03 05:00:00,148.03,149.84
2023-02-06 05:00:00,152.575,150.66
2023-02-07 05:00:00,150.64,151.55
2023-02-08 05:00:00,153.88,152.47
2023-02-09 05:00:00,153.775,153.21
2023-02-10 05:00:00,149.46,153.94
2023-02-13 05:00:00,150.952,154.44
2023-02-14 05:00:00,152.12,154.89
2023-02-15 05:00:00,153.11,155.0
2023-02-16 05:00:00,153.51,155.05
2023-02-17 05:00:00,152.35,155.27
2023-02-21 05:00:00,150.2,155.27
2023-02-22 05:00:00,148.87,155.16
2023-02-23 05:00:00,150.09,154.95
2023-02-24 05:00:00,147.11,154.64
2023-02-27 05:00:00,147.71,154.01
2023-02-28 05:00:00,147.05,153.43
2023-03-01 05:00:00,146.83,152.77
2023-03-02 05:00:00,144.38,152.17
2023-03-03 05:00:00,148.045,151.68
2023-03-06 05:00:00,153.785,151.68
2023-03-07 05:00:00,153.7,151.97
2023-03-08 05:00:00,152.81,152.32
2023-03-09 05:00:00,153.559,152.89
2023-03-10 05:00:00,150.21,153.31
2023-03-13 04:00:00,147.805,153.56
2023-03-14 04:00:00,151.28,153.86
2023-03-15 04:00:00,151.19,154.16
2023-03-16 04:00:00,152.16,154.22
2023-03-17 04:00:00,156.08,154.36
2023-03-20 04:00:00,155.07,154.73
2023-03-21 04:00:00,157.32,155.2
2023-03-22 04:00:00,159.3,156.0
2023-03-23 04:00:00,158.83,156.9
2023-03-24 04:00:00,158.86,157.68
2023-03-27 04:00:00,159.94,158.38
2023-03-28 04:00:00,157.97,158.94
2023-03-29 04:00:00,159.37,159.19
2023-03-30 04:00:00,161.53,159.58
2023-03-31 04:00:00,162.44,159.93
2023-04-03 04:00:00,164.27,160.4
2023-04-04 04:00:00,166.595,161.2
2023-04-05 04:00:00,164.74,162.01
2023-04-06 04:00:00,162.43,162.65
2023-04-10 04:00:00,161.42,163.4
2023-04-11 04:00:00,162.35,163.94
2023-04-12 04:00:00,161.22,163.97
2023-04-13 04:00:00,161.63,163.66
2023-04-14 04:00:00,164.59,163.36
2023-04-17 04:00:00,165.09,163.14
2023-04-18 04:00:00,166.1,163.14
2023-04-19 04:00:00,165.8,163.44
2023-04-20 04:00:00,166.09,163.86
2023-04-21 04:00:00,165.05,164.5
2023-04-24 04:00:00,165.0,165.1
2023-04-25 04:00:00,165.19,165.62
2023-04-26 04:00:00,163.055,165.5
2023-04-27 04:00:00,165.19,165.32
2023-04-28 04:00:00,168.49,165.34
2023-05-01 04:00:00,169.28,165.5
2023-05-02 04:00:00,170.09,165.76
2023-05-03 04:00:00,169.5,166.17
2023-05-04 04:00:00,164.89,166.64
2023-05-05 04:00:00,170.975,166.92
2023-05-08 04:00:00,172.48,167.62
2023-05-09 04:00:00,173.05,168.49
2023-05-10 04:00:00,173.02,168.97
2023-05-11 04:00:00,173.85,169.49
2023-05-12 04:00:00,173.62,170.12
2023-05-15 04:00:00,173.16,170.8
2023-05-16 04:00:00,171.99,171.47
2023-05-17 04:00:00,171.71,172.12
2023-05-18 04:00:00,173.0,171.97
2023-05-19 04:00:00,176.39,172.0
2023-05-22 04:00:00,173.98,172.32
2023-05-23 04:00:00,173.13,172.48
2023-05-24 04:00:00,171.09,172.48
2023-05-25 04:00:00,172.41,172.5
2023-05-26 04:00:00,173.32,172.54
2023-05-30 04:00:00,176.96,172.7
2023-05-31 04:00:00,177.325,173.01
2023-06-01 04:00:00,177.7,173.26
2023-06-02 04:00:00,181.03,173.83
2023-06-05 04:00:00,182.63,174.78
2023-06-06 04:00:00,179.965,176.02
2023-06-07 04:00:00,178.44,177.16
2023-06-08 04:00:00,177.895,177.98
2023-06-09 04:00:00,181.5,178.54
2023-06-12 04:00:00,181.27,178.93
2023-06-13 04:00:00,182.8,179.52
2023-06-14 04:00:00,183.37,179.92
2023-06-15 04:00:00,183.96,180.4
2023-06-16 04:00:00,186.73,181.28
2023-06-20 04:00:00,184.41,182.24
2023-06-21 04:00:00,184.9,183.34
2023-06-22 04:00:00,183.74,183.98
2023-06-23 04:00:00,185.55,184.66
2023-06-26 04:00:00,186.83,185.05
2023-06-27 04:00:00,185.89,185.44
2023-06-28 04:00:00,187.93,185.86
2023-06-29 04:00:00,189.08,186.23
2023-06-30 04:00:00,191.63,186.89
2023-07-03 04:00:00,193.78,187.92
2023-07-05 04:00:00,191.565,189.22
2023-07-06 04:00:00,189.84,190.14
2023-07-07 04:00:00,191.41,191.13
2023-07-10 04:00:00,189.26,192.14
2023-07-11 04:00:00,189.16,192.5
2023-07-12 04:00:00,189.68,192.44
2023-07-13 04:00:00,190.5,192.23
2023-07-14 04:00:00,190.23,191.48
2023-07-17 04:00:00,191.9,191.07
2023-07-18 04:00:00,193.35,191.13
2023-07-19 04:00:00,193.1,191.36
2023-07-20 04:00:00,195.09,192.03
2023-07-21 04:00:00,194.1,192.99
2023-07-24 04:00:00,193.41,193.87
2023-07-25 04:00:00,193.33,194.43
2023-07-26 04:00:00,193.67,194.85
2023-07-27 04:00:00,196.02,195.25
2023-07-28 04:00:00,194.67,195.15
2023-07-31 04:00:00,196.06,195.26
2023-08-01 04:00:00,196.235,195.39
2023-08-02 04:00:00,195.04,195.88
2023-08-03 04:00:00,191.57,196.34
2023-08-04 04:00:00,185.52,196.41
2023-08-07 04:00:00,182.13,195.53
2023-08-08 04:00:00,179.69,193.69
2023-08-09 04:00:00,180.87,191.45
2023-08-10 04:00:00,179.48,188.42
2023-08-11 04:00:00,177.32,185.21
2023-08-14 04:00:00,177.97,182.26
2023-08-15 04:00:00,178.88,180.07
2023-08-16 04:00:00,177.13,178.34
2023-08-17 04:00:00,177.14,177.73
2023-08-18 04:00:00,172.3,177.27
2023-08-21 04:00:00,175.07,176.59
2023-08-22 04:00:00,177.06,176.11
2023-08-23 04:00:00,178.52,175.77
2023-08-24 04:00:00,180.674,175.8
2023-08-25 04:00:00,177.38,175.66
2023-08-28 04:00:00,180.09,175.89
2023-08-29 04:00:00,179.695,176.39
2023-08-30 04:00:00,184.94,177.48
2023-08-31 04:00:00,187.84,178.92
2023-09-01 04:00:00,189.485,180.5
2023-09-05 04:00:00,188.28,182.22
2023-09-06 04:00:00,188.4,183.72
2023-09-07 04:00:00,175.18,185.39
2023-09-08 04:00:00,178.35,186.03
2023-09-11 04:00:00,180.07,185.88
2023-09-12 04:00:00,179.49,184.89
2023-09-13 04:00:00,176.51,183.1
2023-09-14 04:00:00,174.0,181.02
2023-09-15 04:00:00,176.48,178.83
2023-09-18 04:00:00,176.48,176.84
2023-09-19 04:00:00,177.52,175.98
2023-09-20 04:00:00,179.26,175.94
2023-09-21 04:00:00,174.55,175.77
2023-09-22 04:00:00,174.67,175.37
2023-09-25 04:00:00,174.2,175.26
2023-09-26 04:00:00,174.82,175.36
2023-09-27 04:00:00,172.62,175.03
2023-09-28 04:00:00,169.34,174.49
2023-09-29 04:00:00,172.02,173.5
2023-10-02 04:00:00,171.22,172.45
2023-10-03 04:00:00,172.255,171.97
2023-10-04 04:00:00,171.09,171.69
2023-10-05 04:00:00,173.79,171.47
2023-10-06 04:00:00,173.8,171.37
2023-10-09 04:00:00,176.81,171.97
2023-10-10 04:00:00,178.1,172.95
2023-10-11 04:00:00,178.2,174.01
2023-10-12 04:00:00,180.07,175.12
2023-10-13 04:00:00,181.42,176.11
2023-10-16 04:00:00,176.75,177.15
2023-10-17 04:00:00,176.645,177.93
2023-10-18 04:00:00,175.58,178.36
2023-10-19 04:00:00,176.04,178.25
2023-10-20 04:00:00,175.31,177.79
2023-10-23 04:00:00,170.91,177.12
2023-10-24 04:00:00,173.05,176.14
2023-10-25 04:00:00,171.88,175.07
2023-10-26 04:00:00,170.37,174.09
2023-10-27 04:00:00,166.91,172.83
2023-10-30 04:00:00,169.02,171.65
2023-10-31 04:00:00,169.35,170.72
2023-11-01 04:00:00,171.0,169.98
2023-11-02 04:00:00,175.52,169.81
2023-11-03 04:00:00,174.24,170.11
2023-11-06 05:00:00,176.38,170.66
2023-11-07 05:00:00,179.18,171.77
2023-11-08 05:00:00,182.35,173.58
2023-11-09 05:00:00,182.96,175.47
2023-11-10 05:00:00,183.97,177.21
2023-11-13 05:00:00,185.82,179.15
2023-11-14 05:00:00,187.7,180.75
2023-11-15 05:00:00,187.845,182.12
2023-11-16 05:00:00,189.57,183.71
2023-11-17 05:00:00,190.25,185.14
2023-11-20 05:00:00,189.89,186.34
2023-11-21 05:00:00,191.41,187.58
2023-11-22 05:00:00,191.49,188.89
2023-11-24 05:00:00,190.87,189.73
2023-11-27 05:00:00,189.92,190.68
2023-11-28 05:00:00,189.78,191.16
2023-11-29 05:00:00,190.9,191.5
2023-11-30 05:00:00,189.84,191.51
2023-12-01 05:00:00,190.33,191.48
2023-12-04 05:00:00,189.98,191.3
2023-12-05 05:00:00,190.21,191.18
2023-12-06 05:00:00,194.45,191.24
2023-12-07 05:00:00,193.63,191.58
2023-12-08 05:00:00,194.2,192.14
2023-12-11 05:00:00,193.11,192.85
2023-12-12 05:00:00,193.08,193.68
2023-12-13 05:00:00,195.09,194.47
2023-12-14 05:00:00,198.02,195.32
2023-12-15 05:00:00,197.53,196.54
2023-12-18 05:00:00,196.09,197.27
2023-12-19 05:00:00,196.16,198.06
2023-12-20 05:00:00,196.9,198.57
2023-12-21 05:00:00,196.1,198.73
2023-12-22 05:00:00,195.18,199.08
2023-12-26 05:00:00,193.61,198.94
2023-12-27 05:00:00,192.49,198.18
2023-12-28 05:00:00,194.14,197.33
2023-12-29 05:00:00,193.9,196.58
